,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
27,2017,INDEPENDENT,BALCOMBE GRAMMAR SCHOOL,MOUNT MARTHA,30,8,0,114,11,0,85,100,4,100.0,0.0,31.0,5.5
28,2017,INDEPENDENT,BALLARAT CHRISTIAN COLLEGE,SEBASTOPOL,19,13,0,56,74,10,76,100,0,67.0,88.0,29.0,4.9
29,2017,INDEPENDENT,BALLARAT CLARENDON COLLEGE,BALLARAT,42,11,0,204,43,0,99,100,3,99.0,0.0,37.0,33.6
30,2017,INDEPENDENT,BALLARAT GRAMMAR,WENDOUREE,58,27,0,306,90,22,82,100,11,94.0,86.0,32.0,11.2
31,2017,GOVERNMENT,BALLARAT HIGH SCHOOL,BALLARAT,54,34,0,318,277,68,57,97,3,82.0,81.0,28.0,3.9
33,2017,GOVERNMENT,BALLARAT SECONDARY COLLEGE - WOODMANS HILL CAMPUS,BALLARAT EAST,34,15,0,55,20,43,54,94,0,97.0,77.0,28.0,0.0
35,2017,GOVERNMENT,BALWYN HIGH SCHOOL,BALWYN NORTH,47,2,0,618,6,0,92,99,75,100.0,0.0,34.0,21.2
36,2017,INDEPENDENT,BAYSIDE CHRISTIAN COLLEGE,LANGWARRIN SOUTH,36,20,0,72,46,42,90,100,0,96.0,98.0,30.0,3.1
37,2017,GOVERNMENT,BAYSIDE P-12 COLLEGE - PAISLEY CAMPUS,NEWPORT,48,21,0,141,124,43,69,91,4,83.0,85.0,28.0,2.7
38,2017,GOVERNMENT,BAYSWATER SECONDARY COLLEGE,BAYSWATER,22,14,0,35,22,18,66,100,0,77.0,70.0,22.0,0.0
39,2017,INDEPENDENT,BAYVIEW COLLEGE,PORTLAND,21,7,0,55,10,6,69,100,0,91.0,90.0,29.0,3.7
40,2017,INDEPENDENT,BEACONHILLS COLLEGE - BERWICK,BERWICK,41,6,0,228,7,0,85,99,7,100.0,0.0,31.0,7.4
41,2017,INDEPENDENT,BEACONHILLS COLLEGE - PAKENHAM,PAKENHAM,35,0,0,173,0,0,92,100,8,0.0,0.0,31.0,5.8
42,2017,GOVERNMENT,BEAUFORT SECONDARY COLLEGE,BEAUFORT,23,10,0,35,25,18,50,83,0,67.0,81.0,27.0,3.9
43,2017,GOVERNMENT,BEECHWORTH SECONDARY COLLEGE,BEECHWORTH,25,10,0,49,49,12,86,91,3,72.0,69.0,28.0,0.9
44,2017,INDEPENDENT,BELGRAVE HEIGHTS CHRISTIAN SCHOOL,BELGRAVE HEIGHTS,27,6,0,110,35,0,74,100,2,91.0,0.0,30.0,7.2
45,2017,GOVERNMENT,BELLARINE SECONDARY COLLEGE,DRYSDALE,60,39,0,203,429,106,56,94,1,77.0,78.0,27.0,2.2
46,2017,GOVERNMENT,BELMONT HIGH SCHOOL,BELMONT,78,35,0,329,269,57,70,98,4,88.0,80.0,28.0,6.0
48,2017,GOVERNMENT,BENDIGO SENIOR SECONDARY COLLEGE,BENDIGO,82,42,0,1175,601,267,59,95,6,84.0,76.0,27.0,1.8
50,2017,GOVERNMENT,BENTLEIGH SECONDARY COLLEGE,BENTLEIGH EAST,37,6,0,246,9,0,79,100,4,95.0,0.0,29.0,3.6
52,2017,INDEPENDENT,BERWICK GRAMMAR SCHOOL,OFFICER,24,4,0,61,5,0,86,97,4,100.0,0.0,31.0,9.1
