,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over,Average Housing Price,Standard Deviation of Housing Price
147,2017,INDEPENDENT,CASEY GRAMMAR SCHOOL,CRANBOURNE,27,6,0,93,7,0,89,100,1,100.0,0.0,27.0,2.6,370.0,7.5
148,2017,GOVERNMENT,CRANBOURNE SECONDARY COLLEGE,CRANBOURNE,49,37,0,171,230,125,79,99,4,85.0,85.0,28.0,3.4,370.0,7.5
149,2017,INDEPENDENT,LIGHTHOUSE CHRISTIAN COLLEGE CRANBOURNE,CRANBOURNE,18,0,0,87,0,0,49,98,5,0.0,0.0,30.0,9.0,370.0,7.5
150,2017,CATHOLIC,ST PETER'S COLLEGE,CRANBOURNE,59,34,0,287,196,59,80,100,4,88.0,92.0,27.0,2.3,370.0,7.5
151,2016,INDEPENDENT,CASEY GRAMMAR SCHOOL,CRANBOURNE,29,3,0,128,4,0,86,100,2,100.0,0.0,29.0,4.5,370.0,7.5
152,2016,GOVERNMENT,CRANBOURNE SECONDARY COLLEGE,CRANBOURNE,52,38,0,307,312,230,79,95,1,90.0,83.0,27.0,2.7,370.0,7.5
153,2016,INDEPENDENT,LIGHTHOUSE CHRISTIAN COLLEGE CRANBOURNE,CRANBOURNE,16,0,0,89,0,0,80,100,1,0.0,0.0,26.0,3.5,370.0,7.5
154,2016,GOVERNMENT,LYNDHURST SECONDARY COLLEGE,CRANBOURNE,44,32,0,148,111,154,63,100,0,86.0,82.0,26.0,1.9,370.0,7.5
155,2016,CATHOLIC,ST PETER'S COLLEGE,CRANBOURNE,61,37,0,260,166,59,76,98,2,92.0,95.0,27.0,2.1,370.0,7.5
156,2017,GOVERNMENT,CASTLEMAINE SECONDARY COLLEGE,CASTLEMAINE,42,13,0,162,114,31,58,100,4,68.0,81.0,26.0,2.1,312.5,6.614378277661476
157,2016,GOVERNMENT,CASTLEMAINE SECONDARY COLLEGE,CASTLEMAINE,40,14,0,170,146,29,74,99,3,62.0,80.0,28.0,5.7,312.5,6.614378277661476
158,2017,CATHOLIC,CATHOLIC COLLEGE SALE,SALE,36,14,0,239,122,42,76,100,1,95.0,100.0,30.0,8.6,272.5,5.0
159,2017,INDEPENDENT,GIPPSLAND GRAMMAR - SENIOR,SALE,40,15,0,173,44,13,91,100,8,98.0,95.0,32.0,11.3,272.5,5.0
160,2017,GOVERNMENT,SALE COLLEGE,SALE,41,18,0,160,94,69,64,96,2,83.0,84.0,25.0,0.9,272.5,5.0
161,2016,CATHOLIC,CATHOLIC COLLEGE SALE,SALE,45,17,0,232,139,42,84,100,0,94.0,99.0,31.0,12.1,272.5,5.0
162,2016,INDEPENDENT,GIPPSLAND GRAMMAR - SENIOR,SALE,37,10,0,175,49,12,92,100,12,97.0,100.0,31.0,8.3,272.5,5.0
163,2016,GOVERNMENT,SALE COLLEGE,SALE,35,15,0,136,86,51,61,94,0,83.0,83.0,26.0,2.5,272.5,5.0
164,2017,CATHOLIC,CATHOLIC COLLEGE WODONGA,WODONGA,41,13,0,257,185,45,65,98,5,97.0,83.0,29.0,3.7,294.375,4.635124054434789
165,2017,GOVERNMENT,WODONGA SENIOR SECONDARY COLLEGE,WODONGA,68,45,0,417,572,259,49,95,1,95.0,66.0,25.0,1.8,294.375,4.635124054434789
166,2016,CATHOLIC,CATHOLIC COLLEGE WODONGA,WODONGA,36,10,0,238,205,32,61,99,2,96.0,97.0,29.0,4.9,294.375,4.635124054434789
167,2016,GOVERNMENT,WODONGA SENIOR SECONDARY COLLEGE,WODONGA,62,34,0,362,528,104,30,87,1,97.0,50.0,24.0,1.5,294.375,4.635124054434789
168,2017,CATHOLIC,CATHOLIC LADIES COLLEGE,ELTHAM,34,14,0,206,81,19,99,100,6,99.0,95.0,31.0,5.5,411.25,10.825317547305483
169,2017,GOVERNMENT,ELTHAM HIGH SCHOOL,ELTHAM,55,25,0,270,108,20,74,98,13,88.0,100.0,29.0,5.2,411.25,10.825317547305483
170,2017,GOVERNMENT,ST HELENA SECONDARY COLLEGE,ELTHAM,54,28,0,389,301,37,87,99,1,85.0,94.0,30.0,5.7,411.25,10.825317547305483
171,2016,CATHOLIC,CATHOLIC LADIES COLLEGE,ELTHAM,51,20,0,189,92,24,96,100,20,99.0,89.0,32.0,10.6,411.25,10.825317547305483
172,2016,GOVERNMENT,ST HELENA SECONDARY COLLEGE,ELTHAM,44,22,0,361,250,38,92,98,2,82.0,86.0,30.0,5.6,411.25,10.825317547305483
173,2017,GOVERNMENT,CHELTENHAM SECONDARY COLLEGE,CHELTENHAM,54,30,0,226,117,41,94,99,5,86.0,78.0,29.0,6.2,430.0,14.361406616345072
174,2016,GOVERNMENT,CHELTENHAM SECONDARY COLLEGE,CHELTENHAM,65,32,0,245,126,20,82,98,5,92.0,94.0,30.0,5.1,430.0,14.361406616345072
175,2017,CATHOLIC,CLONARD COLLEGE,HERNE HILL,58,25,0,191,69,39,78,100,9,88.0,95.0,30.0,4.9,309.75,11.143944544011335
176,2017,GOVERNMENT,COLLINGWOOD COLLEGE,COLLINGWOOD,36,21,0,73,57,31,79,96,0,65.0,57.0,26.0,3.2,453.125,9.662265521087692
177,2017,CATHOLIC,DAMASCUS COLLEGE,MOUNT CLEAR,49,28,0,184,94,32,73,100,6,92.0,92.0,28.0,5.7,312.5,3.5355339059327378
178,2017,GOVERNMENT,MOUNT CLEAR COLLEGE,MOUNT CLEAR,53,29,0,168,141,66,57,90,0,73.0,60.0,24.0,1.3,312.5,3.5355339059327378
179,2016,CATHOLIC,DAMASCUS COLLEGE,MOUNT CLEAR,45,29,0,208,103,36,68,100,4,92.0,88.0,28.0,3.0,312.5,3.5355339059327378
180,2016,GOVERNMENT,MOUNT CLEAR COLLEGE,MOUNT CLEAR,57,43,0,223,253,43,55,85,3,61.0,85.0,25.0,2.2,312.5,3.5355339059327378
181,2017,GOVERNMENT,DANDENONG HIGH SCHOOL,DANDENONG,69,30,0,437,258,93,79,94,7,71.0,59.0,24.0,0.5,326.875,8.992184106211349
182,2017,CATHOLIC,ST JOHN'S REGIONAL COLLEGE,DANDENONG,46,21,0,204,138,30,88,99,5,94.0,98.0,28.0,3.0,326.875,8.992184106211349
183,2016,GOVERNMENT,DANDENONG HIGH SCHOOL,DANDENONG,70,35,0,381,261,104,88,96,5,87.0,80.0,24.0,0.8,326.875,8.992184106211349
184,2016,CATHOLIC,ST JOHN'S REGIONAL COLLEGE,DANDENONG,57,25,0,195,159,39,95,99,2,100.0,98.0,25.0,1.8,326.875,8.992184106211349
185,2017,GOVERNMENT,DISTANCE EDUCATION CENTRE VICTORIA,THORNBURY,80,34,0,404,69,0,41,89,3,70.0,0.0,28.0,3.9,373.5,13.35102992281869
186,2017,GOVERNMENT,THORNBURY HIGH SCHOOL,THORNBURY,49,26,0,202,119,72,95,98,2,78.0,88.0,30.0,4.5,373.5,13.35102992281869
187,2016,GOVERNMENT,DISTANCE EDUCATION CENTRE VICTORIA,THORNBURY,70,24,0,366,51,24,36,86,1,75.0,58.0,27.0,3.4,373.5,13.35102992281869
188,2016,GOVERNMENT,THORNBURY HIGH SCHOOL,THORNBURY,47,20,0,323,215,199,87,98,3,96.0,92.0,29.0,4.7,373.5,13.35102992281869
189,2017,GOVERNMENT,EAST DONCASTER SECONDARY COLLEGE,DONCASTER EAST,59,30,0,370,60,18,94,99,40,98.0,100.0,32.0,11.6,460.625,9.82264602843857
190,2016,GOVERNMENT,EAST DONCASTER SECONDARY COLLEGE,DONCASTER EAST,65,28,0,373,73,18,94,98,41,98.0,100.0,32.0,11.6,460.625,9.82264602843857
191,2017,GOVERNMENT,ELWOOD COLLEGE,ELWOOD,36,11,0,121,20,0,57,94,5,83.0,0.0,30.0,7.3,412.25,8.089344843681719
192,2016,GOVERNMENT,ELWOOD COLLEGE,ELWOOD,42,14,0,106,16,0,73,93,7,86.0,0.0,29.0,6.4,412.25,8.089344843681719
193,2017,INDEPENDENT,FINTONA GIRLS SCHOOL,BALWYN,27,0,0,91,0,0,96,100,19,0.0,0.0,35.0,22.0,501.25,3.307189138830738
194,2016,INDEPENDENT,FINTONA GIRLS SCHOOL,BALWYN,32,1,0,105,0,0,98,100,26,0.0,0.0,35.0,24.8,501.25,3.307189138830738
195,2017,GOVERNMENT,FITZROY HIGH SCHOOL,FITZROY NORTH,51,26,0,113,73,29,95,100,1,77.0,71.0,30.0,4.7,512.5,13.693063937629153
196,2017,CATHOLIC,SIMONDS CATHOLIC COLLEGE,FITZROY NORTH,34,18,0,107,45,15,92,98,6,84.0,95.0,31.0,4.2,512.5,13.693063937629153
197,2016,CATHOLIC,SIMONDS CATHOLIC COLLEGE,FITZROY NORTH,33,13,0,106,37,18,93,98,0,86.0,89.0,28.0,3.0,512.5,13.693063937629153
198,2017,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - LATROBE CITY CAMP,TRARALGON,18,4,0,23,7,7,93,100,0,87.0,100.0,30.0,1.3,273.125,4.284784125250653
199,2017,CATHOLIC,LAVALLA CATHOLIC COLLEGE,TRARALGON,50,26,0,276,224,45,75,99,2,97.0,76.0,27.0,3.1,273.125,4.284784125250653
200,2017,GOVERNMENT,TRARALGON COLLEGE,TRARALGON,33,23,0,125,80,72,52,90,0,74.0,96.0,23.0,0.0,273.125,4.284784125250653
201,2016,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - LATROBE CITY CAMP,TRARALGON,18,8,0,32,10,5,100,100,0,81.0,95.0,28.0,3.5,273.125,4.284784125250653
202,2016,CATHOLIC,LAVALLA CATHOLIC COLLEGE,TRARALGON,53,37,0,251,248,54,75,100,1,95.0,73.0,28.0,3.0,273.125,4.284784125250653
203,2016,GOVERNMENT,TRARALGON COLLEGE,TRARALGON,41,21,0,105,74,56,74,94,0,77.0,53.0,26.0,0.0,273.125,4.284784125250653
204,2017,GOVERNMENT,FOOTSCRAY CITY COLLEGE,FOOTSCRAY,47,8,0,168,65,35,80,99,3,64.0,89.0,29.0,4.7,353.75,8.926785535678562
205,2017,GOVERNMENT,GILMORE COLLEGE FOR GIRLS,FOOTSCRAY,23,1,0,49,0,0,100,100,2,0.0,0.0,29.0,7.4,353.75,8.926785535678562
206,2016,GOVERNMENT,FOOTSCRAY CITY COLLEGE,FOOTSCRAY,42,10,0,180,98,57,78,98,6,79.0,89.0,28.0,5.3,353.75,8.926785535678562
207,2016,GOVERNMENT,GILMORE COLLEGE FOR GIRLS,FOOTSCRAY,20,1,0,45,0,0,93,97,4,0.0,0.0,26.0,2.3,353.75,8.926785535678562
208,2017,GOVERNMENT,FRANKSTON HIGH SCHOOL - VCE CAMPUS,FRANKSTON,69,26,0,498,152,0,76,100,16,88.0,0.0,31.0,9.3,336.25,8.926785535678562
209,2017,GOVERNMENT,MCCLELLAND SECONDARY COLLEGE,FRANKSTON,46,32,0,152,147,163,54,98,3,69.0,86.0,29.0,3.8,336.25,8.926785535678562
210,2017,GOVERNMENT,MOUNT ERIN COLLEGE,FRANKSTON,42,22,0,133,64,37,68,99,1,92.0,88.0,27.0,0.9,336.25,8.926785535678562
211,2016,GOVERNMENT,FRANKSTON HIGH SCHOOL - VCE CAMPUS,FRANKSTON,65,28,0,486,152,0,80,99,22,97.0,0.0,31.0,9.0,336.25,8.926785535678562
212,2016,CATHOLIC,JOHN PAUL COLLEGE,FRANKSTON,41,24,0,256,56,27,86,100,2,84.0,96.0,27.0,2.0,336.25,8.926785535678562
213,2016,GOVERNMENT,MCCLELLAND SECONDARY COLLEGE,FRANKSTON,54,36,0,133,134,153,64,97,3,69.0,81.0,27.0,1.9,336.25,8.926785535678562
214,2016,GOVERNMENT,MOUNT ERIN COLLEGE,FRANKSTON,47,29,0,250,158,125,67,93,0,93.0,93.0,28.0,3.6,336.25,8.926785535678562
215,2017,INDEPENDENT,GEELONG GRAMMAR SCHOOL,CORIO,36,4,1,219,7,0,79,99,2,98.0,0.0,31.0,8.2,253.125,4.284784125250653
216,2017,GOVERNMENT,NORTHERN BAY P-12 COLLEGE,CORIO,40,29,0,74,93,71,55,88,0,70.0,48.0,22.0,0.0,253.125,4.284784125250653
217,2016,INDEPENDENT,GEELONG GRAMMAR SCHOOL,CORIO,36,2,1,230,7,0,87,100,8,80.0,0.0,32.0,7.3,253.125,4.284784125250653
218,2016,GOVERNMENT,NORTHERN BAY P-12 COLLEGE,CORIO,41,26,0,67,154,67,57,96,0,60.0,51.0,22.0,0.0,253.125,4.284784125250653
219,2017,INDEPENDENT,GOULBURN VALLEY GRAMMAR SCHOOL,SHEPPARTON,28,2,0,147,0,0,96,100,9,0.0,0.0,34.0,17.2,266.875,4.284784125250653
220,2017,GOVERNMENT,MCGUIRE COLLEGE SHEPPARTON,SHEPPARTON,45,20,0,98,67,29,80,94,0,65.0,45.0,24.0,3.3,266.875,4.284784125250653
221,2017,CATHOLIC,NOTRE DAME COLLEGE,SHEPPARTON,66,39,0,395,628,122,75,99,3,88.0,84.0,29.0,6.7,266.875,4.284784125250653
222,2017,INDEPENDENT,SHEPPARTON CHRISTIAN COLLEGE,SHEPPARTON,33,14,0,33,22,9,56,100,0,77.0,68.0,28.0,10.5,266.875,4.284784125250653
223,2017,GOVERNMENT,SHEPPARTON HIGH SCHOOL,SHEPPARTON,47,23,0,125,94,85,72,84,0,72.0,86.0,24.0,2.0,266.875,4.284784125250653
224,2017,GOVERNMENT,WANGANUI PARK SECONDARY COLLEGE,SHEPPARTON,51,21,0,248,134,82,69,99,2,80.0,80.0,27.0,2.9,266.875,4.284784125250653
225,2016,GOVERNMENT,MCGUIRE COLLEGE SHEPPARTON,SHEPPARTON,38,19,0,84,54,22,68,97,0,75.0,62.0,23.0,0.0,266.875,4.284784125250653
226,2016,CATHOLIC,NOTRE DAME COLLEGE,SHEPPARTON,67,40,0,356,574,99,80,99,1,77.0,90.0,29.0,3.2,266.875,4.284784125250653
227,2016,INDEPENDENT,SHEPPARTON CHRISTIAN COLLEGE,SHEPPARTON,26,14,0,37,25,10,83,92,2,81.0,80.0,28.0,1.6,266.875,4.284784125250653
228,2016,GOVERNMENT,SHEPPARTON HIGH SCHOOL,SHEPPARTON,44,19,0,123,88,69,61,89,0,89.0,97.0,27.0,1.7,266.875,4.284784125250653
229,2017,INDEPENDENT,HEATHDALE CHRISTIAN COLLEGE WERRIBEE CAMPUS,WERRIBEE,40,15,0,95,120,9,100,100,3,94.0,100.0,29.0,6.5,333.125,10.288798520721455
230,2017,SELECTIVE,SUZANNE CORY HIGH SCHOOL,WERRIBEE,36,0,0,403,0,0,99,100,49,0.0,0.0,35.0,19.7,333.125,10.288798520721455
231,2017,GOVERNMENT,WERRIBEE SECONDARY COLLEGE,WERRIBEE,78,40,1,313,142,81,81,94,14,65.0,92.0,30.0,10.1,333.125,10.288798520721455
232,2017,GOVERNMENT,WYNDHAM CENTRAL SECONDARY COLLEGE,WERRIBEE,37,23,0,107,79,30,75,89,0,65.0,94.0,27.0,2.1,333.125,10.288798520721455
233,2016,INDEPENDENT,HEATHDALE CHRISTIAN COLLEGE WERRIBEE CAMPUS,WERRIBEE,46,12,0,103,134,8,93,100,4,97.0,100.0,29.0,9.9,333.125,10.288798520721455
234,2016,CATHOLIC,MACKILLOP CATHOLIC REGIONAL COLLEGE WERRIBEE,WERRIBEE,59,34,0,276,195,71,83,97,2,89.0,87.0,30.0,4.6,333.125,10.288798520721455
235,2016,SELECTIVE,SUZANNE CORY HIGH SCHOOL,WERRIBEE,39,1,0,379,4,0,96,100,35,100.0,0.0,34.0,15.5,333.125,10.288798520721455
236,2016,GOVERNMENT,WERRIBEE SECONDARY COLLEGE,WERRIBEE,80,48,1,324,190,103,86,93,8,68.0,90.0,30.0,5.8,333.125,10.288798520721455
237,2016,GOVERNMENT,WYNDHAM CENTRAL SECONDARY COLLEGE,WERRIBEE,45,32,0,122,80,36,81,92,0,72.0,91.0,28.0,4.2,333.125,10.288798520721455
238,2017,GOVERNMENT,HORSHAM COLLEGE,HORSHAM,44,25,0,148,133,42,73,96,4,96.0,36.0,29.0,6.4,254.375,4.635124054434789
239,2017,CATHOLIC,ST BRIGID'S COLLEGE,HORSHAM,36,19,0,104,57,85,77,98,0,69.0,85.0,28.0,2.7,254.375,4.635124054434789
240,2016,CATHOLIC,ST BRIGID'S COLLEGE,HORSHAM,29,15,0,99,78,114,70,98,0,97.0,92.0,28.0,3.9,254.375,4.635124054434789
241,2017,GOVERNMENT,HUME CENTRAL SECONDARY COLLEGE - TOWN PARK CAMPUS,BROADMEADOWS,37,24,0,155,105,77,95,100,0,100.0,80.0,23.0,1.9,339.375,8.076779989575053
242,2017,INDEPENDENT,ILIM COLLEGE,BROADMEADOWS,18,0,0,100,0,0,93,98,3,0.0,0.0,29.0,7.8,339.375,8.076779989575053
243,2017,CATHOLIC,PENOLA CATHOLIC COLLEGE,BROADMEADOWS,57,31,0,263,243,70,81,99,8,92.0,91.0,29.0,2.1,339.375,8.076779989575053
244,2017,INDEPENDENT,SIRIUS COLLEGE - EASTMEADOWS CAMPUS,BROADMEADOWS,17,0,0,138,0,0,100,100,9,0.0,0.0,31.0,9.4,339.375,8.076779989575053
245,2016,INDEPENDENT,GLENVALE SCHOOL,BROADMEADOWS,15,3,0,107,157,0,0,96,0,99.0,0.0,33.0,12.3,339.375,8.076779989575053
246,2016,INDEPENDENT,ILIM COLLEGE OF AUSTRALIA,BROADMEADOWS,26,7,0,96,10,12,92,100,6,100.0,74.0,29.0,7.3,339.375,8.076779989575053
247,2016,CATHOLIC,PENOLA CATHOLIC COLLEGE,BROADMEADOWS,56,27,0,328,233,66,85,100,12,90.0,83.0,28.0,2.2,339.375,8.076779989575053
248,2016,INDEPENDENT,SIRIUS COLLEGE - MEADOW FAIR CAMPUS,BROADMEADOWS,16,0,0,125,0,0,90,100,5,0.0,0.0,31.0,11.4,339.375,8.076779989575053
249,2017,INDEPENDENT,IVANHOE GIRLS' GRAMMAR SCHOOL,IVANHOE,38,7,0,276,118,0,99,100,20,78.0,0.0,34.0,19.6,435.0,12.99038105676658
250,2017,INDEPENDENT,IVANHOE GRAMMAR SCHOOL,IVANHOE,36,2,1,309,50,0,88,99,21,100.0,0.0,33.0,13.2,435.0,12.99038105676658
251,2016,INDEPENDENT,IVANHOE GIRLS' GRAMMAR SCHOOL,IVANHOE,44,8,0,273,103,0,100,100,22,70.0,0.0,34.0,18.4,435.0,12.99038105676658
252,2016,INDEPENDENT,IVANHOE GRAMMAR SCHOOL,IVANHOE,33,2,1,275,50,0,90,100,14,100.0,0.0,33.0,12.3,435.0,12.99038105676658
253,2017,SELECTIVE,JOHN MONASH SCIENCE SCHOOL,CLAYTON,45,1,0,410,0,0,97,100,61,0.0,0.0,34.0,16.8,376.875,8.992184106211349
254,2016,SELECTIVE,JOHN MONASH SCIENCE SCHOOL,CLAYTON,45,7,0,398,9,0,99,100,40,100.0,0.0,34.0,15.6,376.875,8.992184106211349
255,2017,CATHOLIC,KILBREDA COLLEGE,MENTONE,42,16,0,267,77,19,87,100,10,97.0,100.0,30.0,7.3,392.5,7.905694150420948
256,2017,INDEPENDENT,MENTONE GIRLS' GRAMMAR SCHOOL,MENTONE,38,4,0,168,30,0,98,99,26,100.0,0.0,34.0,20.9,392.5,7.905694150420948
257,2017,INDEPENDENT,MENTONE GRAMMAR SCHOOL,MENTONE,46,14,0,264,62,7,93,99,13,89.0,100.0,35.0,21.2,392.5,7.905694150420948
258,2017,CATHOLIC,ST BEDE'S COLLEGE,MENTONE,45,19,0,349,118,43,85,100,6,96.0,100.0,31.0,7.9,392.5,7.905694150420948
259,2016,CATHOLIC,KILBREDA COLLEGE,MENTONE,44,13,0,268,74,25,92,100,11,99.0,100.0,31.0,5.9,392.5,7.905694150420948
260,2016,GOVERNMENT,MENTONE GIRLS' SECONDARY COLLEGE,MENTONE,45,12,0,290,63,0,95,99,16,94.0,0.0,31.0,7.1,392.5,7.905694150420948
261,2016,INDEPENDENT,MENTONE GRAMMAR SCHOOL,MENTONE,42,9,0,256,37,0,97,100,28,99.0,0.0,34.0,18.2,392.5,7.905694150420948
262,2017,CATHOLIC,KILLESTER COLLEGE,SPRINGVALE,53,20,0,229,108,26,96,100,17,86.0,98.0,31.0,7.2,360.0,9.013878188659973
263,2017,INDEPENDENT,MINARET COLLEGE,SPRINGVALE,23,0,0,156,0,0,100,100,0,0.0,0.0,27.0,4.7,360.0,9.013878188659973
264,2016,CATHOLIC,KILLESTER COLLEGE,SPRINGVALE,36,16,0,206,109,19,92,98,15,98.0,89.0,30.0,5.3,360.0,9.013878188659973
265,2017,GOVERNMENT,KURUNJANG SECONDARY COLLEGE,MELTON,33,23,0,125,83,75,84,100,0,57.0,62.0,22.0,0.3,305.625,10.43955818030629
266,2017,GOVERNMENT,MELTON SECONDARY COLLEGE,MELTON,50,29,0,159,139,99,84,94,1,56.0,75.0,27.0,4.4,305.625,10.43955818030629
267,2016,GOVERNMENT,KURUNJANG SECONDARY COLLEGE,MELTON,39,22,0,141,92,72,65,90,0,62.0,77.0,24.0,0.0,305.625,10.43955818030629
268,2016,GOVERNMENT,MELTON SECONDARY COLLEGE,MELTON,55,28,0,155,130,78,68,94,1,59.0,70.0,26.0,0.8,305.625,10.43955818030629
269,2017,GOVERNMENT,LARA SECONDARY COLLEGE,LARA,41,28,0,139,87,56,50,92,0,81.0,83.0,23.0,0.7,343.75,8.926785535678562
270,2016,GOVERNMENT,LARA SECONDARY COLLEGE,LARA,43,24,0,118,90,56,75,99,1,65.0,83.0,26.0,0.6,343.75,8.926785535678562
271,2017,INDEPENDENT,LAURISTON GIRLS SCHOOL,ARMADALE,36,10,1,93,16,0,90,100,6,97.0,0.0,35.0,29.7,423.75,24.968730444297723
272,2017,INDEPENDENT,THE KING DAVID SCHOOL- SENIOR SCHOOL,ARMADALE,39,11,0,124,67,0,94,100,5,97.0,0.0,36.0,25.3,423.75,24.968730444297723
273,2016,INDEPENDENT,LAURISTON GIRLS SCHOOL,ARMADALE,28,2,1,108,0,0,97,100,11,0.0,0.0,36.0,24.7,423.75,24.968730444297723
274,2016,INDEPENDENT,THE KING DAVID SCHOOL- SENIOR SCHOOL,ARMADALE,45,16,0,144,70,0,96,100,6,97.0,0.0,35.0,23.2,423.75,24.968730444297723
275,2017,INDEPENDENT,LEIBLER YAVNEH COLLEGE,ELSTERNWICK,30,9,0,124,90,0,97,100,4,89.0,0.0,35.0,27.9,405.5,11.368817000902073
276,2016,INDEPENDENT,LEIBLER YAVNEH COLLEGE,ELSTERNWICK,34,12,0,120,82,0,97,100,3,93.0,0.0,36.0,29.0,405.5,11.368817000902073
277,2017,CATHOLIC,LORETO MANDEVILLE HALL,TOORAK,36,3,0,208,0,0,98,100,20,0.0,0.0,36.0,27.0,473.375,13.387844299961065
278,2017,INDEPENDENT,ST CATHERINE'S SCHOOL,TOORAK,36,8,0,161,19,0,98,100,25,96.0,0.0,34.0,20.0,473.375,13.387844299961065
279,2017,CATHOLIC,ST KEVIN'S COLLEGE TOORAK,TOORAK,39,5,0,371,8,0,97,100,24,100.0,0.0,37.0,30.8,473.375,13.387844299961065
280,2016,CATHOLIC,LORETO MANDEVILLE HALL,TOORAK,40,5,0,218,7,0,100,100,29,100.0,0.0,36.0,31.1,473.375,13.387844299961065
281,2016,INDEPENDENT,ST CATHERINE'S SCHOOL,TOORAK,32,10,0,136,13,0,100,100,16,95.0,0.0,35.0,18.0,473.375,13.387844299961065
282,2017,GOVERNMENT,LYNDALE SECONDARY COLLEGE,DANDENONG NORTH,53,25,0,171,103,58,98,96,4,90.0,76.0,26.0,2.8,337.625,7.210019070709869
283,2016,GOVERNMENT,LYNDALE SECONDARY COLLEGE,DANDENONG NORTH,55,32,0,220,134,74,93,99,2,96.0,80.0,26.0,1.6,337.625,7.210019070709869
284,2017,CATHOLIC,MARCELLIN COLLEGE,BULLEEN,52,23,0,291,137,29,94,100,13,94.0,94.0,30.0,7.5,453.125,5.555121510822243
285,2017,CATHOLIC,MARIST SION COLLEGE,WARRAGUL,35,13,0,150,57,23,77,98,0,92.0,75.0,29.0,6.0,299.375,7.261843774138907
286,2017,GOVERNMENT,WARRAGUL REGIONAL COLLEGE,WARRAGUL,46,27,0,147,90,65,66,95,0,89.0,96.0,25.0,4.1,299.375,7.261843774138907
287,2016,CATHOLIC,MARIST SION COLLEGE,WARRAGUL,34,11,0,178,44,21,73,97,3,81.0,85.0,29.0,3.2,299.375,7.261843774138907
288,2016,INDEPENDENT,ST PAUL'S ANGLICAN GRAMMAR SCHOOL,WARRAGUL,35,13,0,204,66,0,93,100,26,97.0,0.0,31.0,7.5,299.375,7.261843774138907
289,2016,GOVERNMENT,WARRAGUL REGIONAL COLLEGE,WARRAGUL,39,23,0,141,67,50,75,99,4,83.0,96.0,28.0,6.3,299.375,7.261843774138907
290,2017,GOVERNMENT,MATTHEW FLINDERS GIRLS' SECONDARY COLLEGE,GEELONG,53,25,0,158,76,47,73,99,5,93.0,80.0,26.0,1.8,311.25,5.994789404140899
291,2016,GOVERNMENT,MATTHEW FLINDERS GIRLS' SECONDARY COLLEGE,GEELONG,60,33,0,168,67,42,74,96,4,96.0,81.0,27.0,2.0,311.25,5.994789404140899
292,2017,GOVERNMENT,MELBA COLLEGE SENIOR CAMPUS,CROYDON,43,22,0,109,59,32,57,96,2,94.0,82.0,28.0,4.1,378.75,6.49519052838329
293,2016,GOVERNMENT,MELBA COLLEGE SENIOR CAMPUS,CROYDON,43,23,0,160,72,31,67,98,3,95.0,85.0,26.0,3.2,378.75,6.49519052838329
294,2017,GOVERNMENT,MELBOURNE GIRLS' COLLEGE,RICHMOND,50,14,0,381,25,0,96,100,33,98.0,0.0,33.0,14.6,494.375,10.135796712641785
295,2016,GOVERNMENT,LYNALL HALL COMMUNITY SCHOOL,RICHMOND,15,9,0,39,40,44,55,89,0,42.0,41.0,19.0,0.0,494.375,10.135796712641785
296,2016,GOVERNMENT,MELBOURNE GIRLS' COLLEGE,RICHMOND,48,10,0,349,19,0,93,99,35,100.0,0.0,34.0,18.6,494.375,10.135796712641785
297,2017,SELECTIVE,MELBOURNE HIGH SCHOOL,SOUTH YARRA,59,17,0,686,71,0,94,100,121,99.0,0.0,36.0,30.6,445.0,7.0710678118654755
298,2016,INDEPENDENT,MELBOURNE GIRLS GRAMMAR,SOUTH YARRA,38,5,0,164,7,0,96,100,31,100.0,0.0,36.0,26.4,445.0,7.0710678118654755
299,2016,SELECTIVE,MELBOURNE HIGH SCHOOL,SOUTH YARRA,55,14,0,690,58,0,97,100,127,99.0,0.0,37.0,31.7,445.0,7.0710678118654755
300,2017,GOVERNMENT,MILDURA SENIOR COLLEGE,MILDURA,69,43,0,548,380,190,62,95,3,78.0,71.0,27.0,2.1,275.375,4.715334028465004
301,2017,CATHOLIC,ST JOSEPH'S COLLEGE MILDURA,MILDURA,48,27,0,173,91,40,73,100,2,77.0,89.0,29.0,6.3,275.375,4.715334028465004
302,2016,GOVERNMENT,MILDURA SENIOR COLLEGE,MILDURA,75,47,0,600,420,189,60,95,3,68.0,69.0,28.0,3.4,275.375,4.715334028465004
303,2016,CATHOLIC,ST JOSEPH'S COLLEGE MILDURA,MILDURA,45,30,0,173,89,29,73,96,0,90.0,93.0,30.0,6.1,275.375,4.715334028465004
304,2017,GOVERNMENT,MOUNT ALEXANDER 7-12 COLLEGE,FLEMINGTON,27,18,0,64,42,39,93,94,0,85.0,94.0,26.0,1.5,405.625,5.829611908180509
