2,3,3,Islam,No,2,3,Good,No-use
1,3,more,Islam,No,3,4,Good,No-use
2,3,more,Islam,No,3,4,Good,No-use
3,2,more,Islam,No,3,3,Good,No-use
3,3,more,Islam,No,3,2,Good,No-use
4,4,0,Islam,No,3,3,Good,No-use
2,3,more,Islam,No,3,2,Good,No-use
3,3,1,Islam,Yes,3,2,Good,No-use
2,3,3,Islam,No,3,4,Good,No-use
1,1,more,Islam,No,2,2,Not-good,No-use
1,3,2,Islam,Yes,3,3,Not-good,No-use
1,4,4,Islam,No,1,3,Good,No-use
4,4,1,Islam,Yes,1,4,Good,No-use
2,4,1,Islam,Yes,3,3,Good,No-use
3,4,2,Islam,No,2,3,Good,No-use
2,4,0,Islam,No,4,1,Good,No-use
1,1,more,Islam,No,2,4,Good,No-use
2,2,more,Islam,No,2,4,Good,No-use
2,2,more,Islam,No,2,3,Good,No-use
2,1,more,Islam,No,2,1,Not-good,No-use
3,4,1,Islam,Yes,4,1,Good,No-use
3,4,0,Islam,Yes,3,1,Good,No-use
4,4,1,Non-Islam,No,1,4,Good,No-use
4,4,1,Islam,No,1,4,Good,No-use
4,4,more,Islam,No,1,4,Good,No-use
2,4,more,Islam,No,3,3,Good,No-use
4,4,1,Islam,Yes,1,4,Good,No-use
4,4,0,Islam,Yes,1,4,Good,No-use
4,4,0,Islam,Yes,2,2,Good,No-use
1,2,more,Islam,No,2,4,Good,No-use
3,4,2,Islam,No,1,4,Good,No-use
4,4,2,Islam,No,3,2,Good,No-use
2,4,0,Islam,Yes,1,2,Good,No-use
2,2,2,Islam,No,3,1,Good,No-use
2,3,1,Islam,No,3,3,Good,No-use
1,3,more,Islam,No,3,2,Not-good,No-use
1,2,more,Islam,Yes,3,1,Good,No-use
3,3,4,Islam,No,3,2,Good,No-use
2,2,3,Islam,No,3,4,Good,No-use
2,2,1,Islam,No,2,4,Good,No-use
1,1,3,Islam,No,3,1,Good,No-use
2,3,0,Islam,Yes,1,3,Good,No-use
2,4,2,Islam,No,1,3,Good,No-use
4,4,2,Non-Islam,No,1,4,Good,No-use
2,2,1,Islam,No,3,2,Good,No-use
1,4,1,Islam,No,2,1,Good,No-use
4,4,2,Islam,No,2,3,Good,No-use
4,4,0,Islam,No,2,4,Good,No-use
4,4,1,Islam,No,1,4,Good,No-use
4,4,0,Islam,Yes,1,4,Good,No-use
4,4,0,Islam,Yes,1,4,Good,No-use
4,4,more,Non-Islam,No,2,4,Good,No-use
3,4,more,Islam,No,3,3,Good,No-use
4,4,1,Non-Islam,Yes,2,3,Good,No-use
2,4,more,Islam,No,2,3,Good,No-use
2,2,2,Islam,No,2,2,Not-good,No-use
4,4,more,Islam,Yes,1,4,Good,No-use
3,4,more,Islam,No,2,1,Good,No-use
2,3,0,Islam,No,3,4,Good,No-use
4,4,more,Islam,No,1,2,Good,No-use
3,3,more,Islam,No,3,3,Good,No-use
2,3,1,Islam,No,2,3,Good,No-use
1,2,2,Islam,Yes,1,3,Good,No-use
2,3,1,Islam,No,2,1,Good,No-use
2,4,1,Islam,Yes,1,3,Good,No-use
2,4,1,Islam,No,3,1,Good,No-use
4,2,more,Islam,No,3,3,Good,No-use
2,3,3,Islam,No,3,1,Good,No-use
3,4,2,Islam,No,3,4,Good,No-use
4,4,1,Islam,Yes,3,3,Good,No-use
2,3,4,Islam,No,2,3,Good,No-use
2,3,more,Islam,No,1,4,Good,No-use
2,3,1,Islam,No,1,1,Good,No-use
2,3,1,Islam,No,1,2,Good,No-use
3,4,0,Islam,No,2,3,Good,No-use
3,4,1,Islam,No,2,3,Good,No-use
4,4,0,Islam,Yes,2,4,Good,No-use
3,4,3,Islam,No,1,4,Good,No-use
2,3,2,Islam,No,3,2,Good,No-use
4,4,1,Islam,Yes,1,4,Good,No-use
4,4,0,Non-Islam,No,1,4,Good,No-use
4,4,more,Non-Islam,Yes,1,4,Good,No-use
2,4,1,Islam,Yes,4,4,Good,No-use
4,4,0,Non-Islam,Yes,1,4,Good,No-use
4,4,2,Islam,No,1,4,Good,No-use
4,4,2,Islam,No,1,4,Good,No-use
4,4,1,Islam,No,1,3,Good,No-use
4,4,3,Non-Islam,No,1,4,Good,No-use
2,4,4,Islam,No,1,4,Good,No-use
2,2,3,Islam,Yes,2,1,Good,No-use
2,3,0,Islam,No,2,1,Good,No-use
2,4,more,Islam,No,1,4,Good,No-use
2,2,3,Islam,No,2,1,Good,No-use
2,2,1,Islam,Yes,3,2,Good,No-use
1,2,3,Islam,No,1,3,Good,No-use
1,3,more,Islam,No,2,3,Not-good,No-use
2,3,1,Islam,Yes,2,3,Good,No-use
4,4,more,Islam,No,2,1,Good,No-use
